temp1,temp2
__dummy,0
var_0_0_00,0
var_0_0_01,0
var_0_0_02,0
var_0_0_03,0
var_0_0_04,0
var_0_0_05,0
var_0_0_06,0
var_0_0_07,0
var_0_0_08,0
var_0_0_09,0
var_0_0_10,0
var_0_0_11,0
var_0_1_00,0
var_0_1_01,0
var_0_1_02,0
var_0_1_03,0
var_0_1_04,0
var_0_1_05,0
var_0_1_06,1
var_0_1_07,0
var_0_1_08,0
var_0_1_09,0
var_0_1_10,0
var_0_1_11,0
var_3_0_09,1
var_3_0_10,0
var_3_0_11,0
var_3_1_09,0
var_3_1_10,0
var_3_1_11,0
var_4_0_00,0
var_4_1_00,0
var_4_0_01,0
var_4_1_01,1
var_4_0_02,0
var_4_1_02,0
var_4_0_03,0
var_4_1_03,1
var_4_0_04,0
var_4_1_04,1
var_4_0_05,0
var_4_1_05,0
var_4_0_06,0
var_4_1_06,0
var_4_0_07,1
var_4_1_07,0
var_4_0_08,0
var_4_1_08,1
var_4_0_09,0
var_4_1_09,0
var_4_0_10,0
var_4_1_10,1
var_4_0_11,0
var_4_1_11,0
var_5_0_00,0
var_5_1_00,1
var_5_0_01,1
var_5_1_01,0
var_5_0_02,1
var_5_1_02,0
var_5_0_03,0
var_5_1_03,1
var_5_0_04,1
var_5_1_04,0
var_5_0_05,0
var_5_1_05,1
var_5_0_06,0
var_5_1_06,1
var_5_0_07,0
var_5_1_07,1
var_5_0_08,0
var_5_1_08,1
var_5_0_09,0
var_5_1_09,1
var_5_0_10,1
var_5_1_10,0
var_5_0_11,0
var_5_1_11,1
var_1_0_00,1
var_1_0_01,0
var_1_0_02,0
var_1_0_03,0
var_1_0_04,0
var_1_0_05,0
var_1_1_00,0
var_1_1_01,0
var_1_1_02,0
var_1_1_03,0
var_1_1_04,0
var_1_1_05,0
var_2_0_00,0
var_3_0_00,0
var_1_0_06,1
var_1_0_07,0
var_1_0_08,0
var_1_0_09,0
var_1_0_10,0
var_1_0_11,0
var_1_1_06,0
var_1_1_07,0
var_1_1_08,0
var_1_1_09,0
var_1_1_10,0
var_1_1_11,0
var_2_0_01,0
var_3_0_01,0
var_2_0_02,0
var_3_0_02,0
var_2_0_03,0
var_3_0_03,0
var_2_0_04,0
var_3_0_04,1
var_2_0_05,0
var_3_0_05,0
var_2_0_06,0
var_3_0_06,0
var_2_0_07,0
var_3_0_07,1
var_2_0_08,0
var_3_0_08,0
var_2_0_09,0
var_2_0_10,0
var_2_1_00,1
var_2_1_01,0
var_2_1_02,0
var_2_1_03,0
var_2_0_11,0
var_3_1_00,0
var_3_1_01,1
var_3_1_02,0
var_3_1_03,0
var_2_1_04,1
var_3_1_04,0
var_2_1_05,0
var_3_1_05,0
var_2_1_06,0
var_3_1_06,0
var_2_1_07,0
var_3_1_07,0
var_2_1_08,0
var_3_1_08,0
var_2_1_09,0
var_2_1_10,0
var_2_1_11,1
